record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00859nas  2200205u  4500,9925579830101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002557983LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925579830101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$4$aHet perron$ $ $btweemaandelijks bulletin van het Psychiatrisch ziekenhuis Onze-Lieve-Vrouw en het Psychotherapeutisch centrum Rustenburg Brugge.,^$ $ $aBrugge$ $ $bPsychiatrisch ziekenhuis Onze-Lieve-Vrouw$ $ $c1985-[2000]^$ $ $aBrugge$ $ $bPsychotherapeutisch centrum Rustenburg $ $ $cs.d,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,,,,,,,,,,,,,,,,,,,,,,,,,,,
00709nas  2200205u  4500,9925579930101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002557993LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925579930101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aViaduct in 't kort.,^$ $ $aBrugge$ $ $bPsychiatrisch ziekenhuis Onze-Lieve-Vrouw$ $ $c1982-[2003],^$ $ $aContinuous,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,,,^$ $ $aPeriodiciteit varieert,,,,,,,,,,,,,,,,,,,,,,,,
00987nas  2200241u  4500,9925879540101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002587954LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925879540101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$4$aEin shalom.,^$ $ $aBruxelles$ $ $bService de documentation pour les relations entre Chrétiens et Juifs$ $ $c1982-1992^$ $ $aBruxelles$ $ $bSoeurs de Sion$ $ $c1982-1992,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,^$1$1$aSource de paix,,^$1$8$w(BeLVLBS)000574090LBS01-Aleph$ $ $tService de documentation pour les relations entre chrétiens et juifs. Bulletin d'information$ $ $4780,,,,^$ $ $aFait suite à: Service de documentation pour les relations entre Chrétiens et Juifs. Bulletin d'information^$ $ $aDevient: Shalom,,,,,,,,,,,,,,,,,,,
00658nas  2200193u  4500,9925936020101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002593602LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925936020101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't Krabje.,^$ $ $aHeule$ $ $bKortrijks centrum voor arbeidsvorming$ $ $c[1985]-[1986],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,,,,,,,,,,,,,,,,,,,,,,,,,
00995nam  2200277u  4500,9925978540101480,041004s1983    xx |||| r     000|0 dut c,^$ $ $a(BeLVLBS)002597854LBS01-Aleph^$ $ $a10325746^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925978540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZwaarden tot ploegen omsmeden : speciaal vredes-en Broederlijk delen-nummer /$ $ $cRed. Werkgroep Aggi,^$ $ $aBrugge$ $ $bTabor$ $ $c1983,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aSchoolbooks - Didactic material,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803^$ $7$2KADOC$ $ $acatechese$ $ $6(ODIS-TW)359^$ $7$2KADOC$ $ $avredesopvoeding$ $ $6(ODIS-TW)2189",^$2$ $aWerkgroep Aggi.$ $ $4edt,,,,,,,^$ $ $a11e jg. (1983) nr. 3,,,,^$ $ $a99 p.: ill. + bijl.,"^$1$ $aCatechetische service$ $ $v11,3",,,,,,,,,,,,,,
00829naa  2200217u  4500,9925979040101480,041004s1984    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)002597904LBS01-Aleph^$ $ $a10325994^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925979040101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"^$0$0$aNicaragua : een revolutie, kan het verschil maken?",,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aNicaragua [land in werelddeel Amerika]$ $ $6(ODIS-GEO)40240023001479^$ $7$2KADOC$ $ $arevolutie$ $ $6(ODIS-TW)1757,,,,,,,,^$ $ $a// In: Campus: kwartaalschrift voor Vlaamse universiteitspastoraal. - 2(1983/84)7; p. 20-28,,,,,,"^$1$ $aBastiaensen, Johan$ $ $4aut",,,,,,,,,,,,,
00687nas  2200217u  4500,9926006200101480,041012Q19811996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002600620LBS01-Aleph^$ $ $a10337694^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926006200101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAVEVE info.,^$ $ $aLeuven$ $ $bAVEVE$ $ $c[1981]-[1996],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alandbouw$ $ $6(ODIS-TW)1131,^$2$ $aAVEVE.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00706nas  2200205u  4500,9926035570101480,041012Q19811996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002603557LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926035570101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBerichtenblad.,^$ $ $aKortrijk$ $ $bKAV. Verbond Kortrijk$ $ $c[1983]-[1990],^$ $ $aMonthly$ $ $bverschijnt 11 x per jaar,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,^$ $ $aTitel varieert,,,,,,,,,,,,,,,,,,,,,,,,
00812nas  2200241u  4500,9926086510101480,041105q19851996za ur|p||     0|||a|und c,^$ $ $a(BeLVLBS)002608651LBS01-Aleph^$ $ $a10371625^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926086510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBwacha : Zambia newsletter.,^$ $ $aKalulushi$ $ $bCICM Zambia Team$ $ $c1985-[1996],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $aZambia [land in werelddeel Afrika]$ $ $6(ODIS-GEO)40240023001503,^$2$ $aCICM Scheut$ $ $4oth,^$1$1$aNew Dawn,^$ $ $aCongregation of the Immaculate Heart of Mary,,,,,,,,,,,,,,,,,,,,,,,,
00693nas  2200217u  4500,9926131880101480,041122q19841999xxkqr|p||     0|||a|eng c,^$ $ $a(BeLVLBS)002613188LBS01-Aleph^$ $ $a10388387^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926131880101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCICM. Newsletter.,^$ $ $aArlington$ $ $bMissionhurst$ $ $c[1984]-[1991],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aCICM Scheut$ $ $4oth,,^$ $ $aCongregation of the Immaculate Heart of Mary,,,,,,,,,,,,,,,,,,,,,,,,
00875nas  2200229u  4500,9926134570101480,041122d19851988be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002613457LBS01-Aleph^$ $ $a10389225^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926134570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aEnsemble avec les jeunes églises : bulletin d'information des Oeuvres Pontificales Missionnaires.,^$ $ $aBruxelles$ $ $bOeuvres pontificales missionnaires$ $ $c[1985]-1988,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aOeuvres pontificales missionnaires$ $ $4oth,,,,,,,^$ $ $aDevient: Ensemble: bulletin d'information des Oeuvres Pontificales Missionnaires,,,,,,,,,,,,,,,,,,,
00714nas  2200217u  4500,9926202870101480,041213q19841990be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002620287LBS01-Aleph^$ $ $a10415668^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926202870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfoblaadje OLB.,^$ $ $aDilbeek$ $ $bOLB Regina Caelilyceum$ $ $c1984-[1990],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",^$2$ $aOLB Regina Caelilyceum$ $ $bDilbeek$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00826nas  2200229u  4500,9926202890101480,041213q19821983be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002620289LBS01-Aleph^$ $ $a10415686^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926202890101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAu fil de l'EP$ $ $bbulletin de liaison des Equipes populaires de Bruxelles.,^$ $ $aBruxelles$ $ $bEquipes populaires$ $ $c[1982]-[1983],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aEquipes populaires$ $ $4oth,,^$ $ $aPeriodiciteit varieert,,,,,,,,,,,,,,,,,,,,,,,,
00701nas  2200217u  4500,9926209780101480,041215d19839999be ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002620978LBS01-Aleph^$ $ $a10418242^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926209780101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$4$aLes frères d'espérance.,^$ $ $aBruxelles$ $ $bLes frères d'espérance$ $ $c[1983]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aLes frères d'espérance$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00991nas  2200289u  4500,9926262770101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002626277LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926262770101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBethesda magazine,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-^$ $1$aGenk$ $ $bBethesda$ $ $3[1982]-,^$ $ $aKADOC$ $ $bphysical$ $ $c202104$ $ $dA$ $ $dCollectie EVADOC$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799^$ $7$2KADOC$ $ $achristendom$ $ $6(ODIS-TW)2689^$ $7$2KADOC$ $ $aprotestantisme$ $ $6(ODIS-TW)2501,,,,,^$ $ $z1784-2301,^$1$0$aBethesda$ $ $bmagazine voor christelijke hulpverlening$ $ $g23(2005)-25(2007)$ $ $x1784-2301$ $ $66959686^$1$0$aNieuwsbrief$ $ $g(1986)-22(2004),^$ $ $aFives issues a year$ $ $b21(2003)-23(2005)^$ $ $aBimonthly$ $ $b?-20(2002),,,,,,,,,,,,,,,,,,,,
01203nas a2200265 u 4500,9926836280101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002683628LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926836280101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aGisteren en vandaag$ $ $bdriemaandelijks tijdschrift over KSJ-KSA-VKSJ.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1981-2008^$ $1$aBrussel$ $ $bKSJ-KSA-VKSJ$ $ $31981-2008,^$ $ $aKADOC$ $ $bphysical$ $ $c202107$ $ $9local,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,,,^$ $ $aPublicatie stopgezet,,,"^$1$0$aGisteren$ $ $btijdschrift voor mensen met belangstelling voor het verleden van KSJ-KSA-VKSJ$ $ $gmaart 1994 - december 1995^$1$0$aGisteren$ $ $btijdschrift voor mensen die belangstelling voor het verleden van KSJ-KSA-VKSJ hebben$ $ $gmaart 1993 - december 1993^$1$0$aGisteren$ $ $btijdschrift voor oud-medewerk-st-ers van KSJ, VKSJ en KSA$ $ $gmaart 1986 - december 1992^$1$0$aGisteren$ $ $btijdschrift voor oud-medewerk(st)ers van VKSJ en KSA$ $ $gseptember 1980 - oktober 1985",,,,,,,,,,,,,,,,,,,,,
00690nas a2200205 a 4500,9926982900101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002698290LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926982900101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$aDe vrienden van broeder Mutien.,^$ $ $aMalonne$ $ $bAmis du frère Mutien-Marie$ $ $c1984-,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201501,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,^$1$8$w(BeLVLBS)001349158LBS01-Aleph$ $ $tLes amis du frère Mutien$ $ $4765,,,,,,,,,,,,,,,,,,,,,,,
00834nas a2200253 a 4500,9927165960101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002716596LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9927165960101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aNeos magazine.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1981]-^$ $1$aBrugge$ $ $bCRM$ $ $3[1981]-,^$ $ $aKADOC$ $ $bphysical$ $ $c201503$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293^$ $7$2KHLim$ $ $abejaarden$ $ $4LIGS^$ $7$2KHLim$ $ $asenioren$ $ $4LIGS^$ $7$2KHLim$ $ $asociaal cultureel werk$ $ $4LIGS,,,,^$1$8$w(BeLVLBS)001243807LBS01-Aleph$ $ $tStart 60.$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00686nas a2200217 u 4500,9927168310101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002716831LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9927168310101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aWerchter leeft.,^$ $ $aWerchter$ $ $bSint Sebastiaansgilde Werchter$ $ $c1984-,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2KUL$ $ $aSMV:België^$ $7$2KUL$ $ $aSMV:schietspelen^$ $7$2KUL$ $ $aSMV:400000,^$2$ $aSint-Sebastiaansgilde Werchter$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00679nas a2200193 u 4500,9927173400101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002717340LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9927173400101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aFlash...flash$ $ $bbulletin d'information de la section polonaise - CSC.,^$ $ $aBruxelles$ $ $bCSC$ $ $c[1983]-[1985],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $awerkgevers$ $ $6(ODIS-TW)2243,,,,,,,,,,,,,,,,,,,,,,,,,,,
00616nas  2200205u  4500,9927784620101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002778462LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9927784620101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aDF-krant.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1985]-[2010]^$ $1$aDeurne$ $ $bDavidsfonds$ $ $3[1985]-[2010],^$ $ $aKADOC$ $ $bphysical$ $ $c202010$ $ $9local,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Deurne Noord$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00613nas a2200181 u 4500,9928490740101480,050114c19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002849074LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9928490740101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aAktiviteitenkalender.,^$ $ $aElverdinge$ $ $bKoninklijke fanfare Sint Cecilia$ $ $c[1985]-[1988],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aKoninklijke fanfare Sint Cecilia$ $ $cElverdinge$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00937nas  2200241u  4500,9929028790101480,910606d19811988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002902879LBS01-Aleph^$ $ $a3762533^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9929028790101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aStart 60$ $ $bdriemaandelijks ledenblad van de clubs voor rustenden uit de middengroepen.,^$ $ $aBrussel$ $ $bCRM$ $ $c1981-1988,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293,^$2$ $aClubs voor rustenden uit de middengroepen$ $ $4oth,^$1$1$aBlijf jong$ $ $bdriemaandelijks ledenblad van de clubs voor rustenden uit de middengroepen,,,,,,,,,,,,,,,,,,,,,^$ $ $aEditie West-Vlaanderen,,,,
00930nas  2200241u  4500,9929029760101480,910606d19811988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002902976LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9929029760101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aStart 60$ $ $bdriemaandelijks ledenblad van de clubs voor rustenden uit de middengroepen.,^$ $ $aBrussel$ $ $bCRM$ $ $c1981-1988,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293,^$2$ $aClubs voor rustenden uit de middengroepen$ $ $4oth,^$1$1$aBlijf jong$ $ $bdriemaandelijks ledenblad van de clubs voor rustenden uit de middengroepen,,,,,,,,,,,,,,,,,,,,,^$ $ $aEditie Kortrijk,,,,
00677nas  2200205u  4500,9929702100101480,890310c19831989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002970210LBS01-Aleph^$ $ $a2869529^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9929702100101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSnuffel$ $ $bdriemaandelijks tijdschrift voor leden en oud-leden van KLJ Beernem.,^$ $ $aBeernem$ $ $bKLJ$ $ $c1983-1989,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKLJ Beernem$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00677nas  2200205u  4500,9929713550101480,991202q19821983be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002971355LBS01-Aleph^$ $ $a8148583^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9929713550101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe periskoop.,^$ $ $aOosterzele$ $ $bKWB. Oosterzele$ $ $c[1982]-[1983],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aKWB. Oosterzele$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00540nas  2200181u  4500,9929984660101480,991202q19821983be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002998466LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9929984660101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aLasalliana.,^$ $ $aRoma$ $ $bLasalliana$ $ $c1983-[2000],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
